;timestamp;Signalname;interpreted_value
335;63381402209200.0;S-A;e
336;63381702365900.0;S-A;a
337;63384742017000.0;S-A;e
338;63384941878900.0;S-A;a
339;63409302414600.0;S-A;c
340;63409602786300.0;S-A;a
341;63431022745700.0;S-A;e
342;63431521930400.0;S-A;a
343;63447603754300.0;S-A;c
344;63447903728300.0;S-A;a
345;63452023084800.0;S-A;c
346;63452323068900.0;S-A;a
347;63498404087200.0;S-A;e
348;63498704133000.0;S-A;a
349;63526483648700.0;S-A;e
350;63526783876000.0;S-A;a
351;63547424432500.0;S-A;c
352;63547724459300.0;S-A;a
353;63561524059800.0;S-A;c
354;63561824085800.0;S-A;a
355;63569444380100.0;S-A;e
356;63569644400600.0;S-A;a
357;63584625003800.0;S-A;e
358;63584825054900.0;S-A;a
359;63606525044800.0;S-A;c
360;63606825108600.0;S-A;a
361;63613425231300.0;S-A;c
362;63613725217800.0;S-A;a
363;63625605446800.0;S-A;e
364;63626005311200.0;S-A;a
365;63633585037200.0;S-A;e
366;63634085073200.0;S-A;a
367;63643665761600.0;S-A;c
368;63643965553600.0;S-A;a
369;63672595931600.0;S-A;e
370;63672895728600.0;S-A;a
371;63767697530700.0;S-A;c
372;63767897479800.0;S-A;a
373;63790317417300.0;S-A;c
374;63790617650400.0;S-A;a
375;63847079481200.0;S-A;e
376;63847379258400.0;S-A;a
377;63874418875900.0;S-A;e
378;63874618881600.0;S-A;a
379;63890999602300.0;S-A;c
380;63891299608900.0;S-A;a
381;63913339560900.0;S-A;c
382;63913639526700.0;S-A;a
383;63941040661600.0;S-A;e
384;63941340672600.0;S-A;a
385;63965580705800.0;S-A;e
386;63965880796700.0;S-A;a
387;63974281052500.0;S-A;c
388;63974581151400.0;S-A;a
389;63990912162700.0;S-A;c
390;63991211951800.0;S-A;a
391;64026072400700.0;S-A;e
392;64026372461400.0;S-A;a
393;64028411824400.0;S-A;e
394;64028711845600.0;S-A;a
395;64058952709900.0;S-A;c
396;64059352289500.0;S-A;a
397;64060752504700.0;S-A;c
398;64061852400400.0;S-A;a
399;64164433641700.0;S-A;e
400;64164833515200.0;S-A;a
401;64171753854000.0;S-A;e
402;64172153851100.0;S-A;a
